location,topics 
Trinidad and Tobago,"['java', 'jquery', 'javascript', 'mysql', 'html', 'swing']"
"Dnipro, Dnipropetrovsk Oblast, Ukraine","['javascript', 'php', 'css', 'jquery', 'html', 'arrays']"
https://www.gofundme.com/f/stop-stack-overflow-from-defaming-its-users,"['bash', 'shell', 'c', 'unix', 'linux', 'emacs']"
"Lakewood, NJ","['c#', '.net', 'winforms', 'linq', 'datagridview', 'linq-to-sql']"
"San Francisco, CA, USA","['python', 'pandas', 'dataframe', 'numpy', 'list', 'python-3.x']"
"London, England, United Kingdom","['java', 'javascript', 'scala', 'string', 'generics', 'html']"
"Chicago, IL","['python', 'pandas', 'r', 'sql', 'ms-access', 'vba']"
"New York, New York United States","['sql-server', 'python', 'sql', 'c#', '.net', 'excel']"
Argentina,"['javascript', 'java', 'jquery', 'ruby', 'scala', 'ruby-on-rails']"
"Readfield, ME","['javascript', 'arrays', 'jquery', 'regex', 'html', 'css']"
"Atlanta, Georgia, USA","['javascript', 'canvas', 'html', 'html5-canvas', 'jquery', 'kineticjs']"
"Portland, Oregon, United States","['linux', 'c', 'bash', 'c++', 'java', 'python']"
"Boskovice, Czech Republic","['objective-c', 'iphone', 'ios', 'xcode', 'perl', 'cocoa-touch']"
"Edinburgh, United Kingdom","['c#', '.net', 'multithreading', 'string', 'linq', 'winforms']"
"New York, NY, USA","['c++', 'c', 'c++11', 'string', 'stl', 'vector']"
"San Diego, CA","['python', 'javascript', 'jquery', 'django', 'html', 'django-models']"
"Kerala, India","['ios', 'objective-c', 'swift', 'iphone', 'xcode', 'uitableview']"
"Amersfoort, The Netherlands","['visual-studio', 'tfs', 'azure-devops', 'git', 'c#', 'visual-studio-2012']"
,"['three.js', 'javascript', 'webgl', '3d', 'rotation', 'camera']"
,"['c++', 'c++11', 'vector', 'stl', 'string', 'arrays']"
"Boston, MA","['go', 'python', 'http', 'json', 'linux', 'goroutine']"
"Houston, TX","['r', 'ggplot2', 'dplyr', 'dataframe', 'data.table', 'regex']"
"St Petersburg, FL","['javascript', 'jquery', 'html', 'json', 'c++', 'canvas']"
Switzerland,"['c#', '.net', 'winforms', 'sql', 'vb.net', 'ms-access']"
Trenton New Jersey United States,"['c#', 'c++', 'c', '.net', 'linq', 'sql']"
"London, United Kingdom","['google-app-engine', 'python', 'algorithm', 'google-cloud-datastore', 'java', 'cryptography']"
Iowa,"['ruby', 'ruby-on-rails', 'arrays', 'javascript', 'json', 'php']"
,"['sql-server', 'sql', 'tsql', 'sql-server-2005', 'stored-procedures', 'sql-server-2008']"
"Phoenix, AZ, United States","['ruby', 'git', 'postgresql', 'regex', 'ruby-on-rails', 'string']"
"London, UK","['css', 'html', 'sql', 'javascript', 'jquery', 'sql-server']"
Los Angeles,"['c#', 'javascript', 'wpf', 'jquery', '.net', 'asp.net-mvc']"
UK,"['c#', 'asp.net', 'wpf', '.net', 'entity-framework', 'xaml']"
,"['java', 'amazon-web-services', 'maven', 'maven-2', 'jax-rs', 'design-patterns']"
"Berlin, Germany","['php', 'php-internals', 'regex', 'mysql', 'arrays', 'string']"
"Mystic, CT","['html', 'css', 'php', 'codeigniter', 'javascript', 'jquery']"
"New Hampshire, United States","['javascript', 'php', 'jquery', 'c#', 'asp.net', 'mysql']"
"London, United Kingdom","['sql-server', 'sql', 'tsql', 'sql-server-2005', 'c#', 'performance']"
,"['ios', 'objective-c', 'iphone', 'xcode', 'opengl-es', 'cocoa-touch']"
,"['c#', 'sql-server', 'sql', '.net', 'python', 'winforms']"
"San Francisco, CA","['android', 'java', 'maven', 'github', 'react-native', 'roboguice']"
,"['c++', 'c++11', 'templates', 'c++17', 'vector', 'pointers']"
"New York, NY","['javascript', 'c#', 'asp.net', '.net', 'sql', 'security']"
near Boston,"['sublimetext3', 'sublimetext', 'python', 'sublimetext2', 'python-3.x', 'python-2.7']"
Turkey,"['c#', 'linq', '.net', 'arrays', 'string', 'list']"
"Falun, Sweden","['c#', '.net', 'asp.net-mvc-3', 'asp.net-mvc', 'design-patterns', 'sockets']"
"North Bend, WA","['c#', 'c++', '.net', 'wpf', 'c', 'xml']"
"Zürich, Switzerland","['java', 'oop', 'c#', 'eclipse', 'unit-testing', '.net']"
Volta Redonda - Rio de Janeiro - Brazil,"['c#', 'asp.net-mvc', 'jquery', 'sql', 'html', 'css']"
Denmark,"['google-api', 'google-oauth', 'google-drive-api', 'google-analytics', 'c#', 'php']"
United States,"['java', 'hibernate', 'mysql', 'jpa', 'spring', 'sql']"
"Chicago, IL","['c++', 'c++11', 'stl', 'class', 'c', 'vector']"
California,"['java', 'mysql', 'php', 'database', 'xml', 'oracle']"
"Brisbane, Australia","['d3.js', 'javascript', 'svg', 'html', 'css', 'data-visualization']"
MA,"['mysql', 'sql', 'php', 'datetime', 'node.js', 'database']"
,"['mongodb', 'aggregation-framework', 'mongodb-query', 'node.js', 'mongoose', 'javascript']"
Teleported to your screen from France,"['css', 'html', 'flexbox', 'javascript', 'css-grid', 'jquery']"
"London, UK","['solr', 'c#', 'lucene', 'nhibernate', 'castle-windsor', '.net']"
Nepal,"['javascript', 'jquery', 'php', 'html', 'ajax', 'mysql']"
"Cambridge, United Kingdom","['php', 'css', 'html', 'jquery', 'javascript', 'mysql']"
,"['c#', '.net', 'asp.net', 'asp.net-mvc', 'javascript', 'xml']"
New York,"['python', 'multithreading', 'list', 'django', 'logging', 'c++']"
,"['angular', 'javascript', 'typescript', 'angularjs', 'node.js', 'css']"
Japan,"['javascript', 'c#', 'xml', 'xslt', 'xpath', 'angularjs']"
"Boston, MA","['c++', 'c', 'c#', 'windows', '.net', 'string']"
"New York, NY, United States","['pandas', 'python', 'dataframe', 'numpy', 'parquet', 'pyarrow']"
Netherlands,"['git', 'javascript', 'php', 'python', 'c#', 'jquery']"
"Toronto, Canada","['c#', '.net', 'asp.net', 'linq', 'html', 'generics']"
,"['python', 'python-3.x', 'python-2.7', 'dictionary', 'list', 'class']"
,"['c#', 'json.net', 'json', 'serialization', '.net', 'system.text.json']"
"Mountain View, CA","['android', 'listview', 'layout', 'java', 'android-layout', 'bitmap']"
"Chicago, IL","['jquery', 'jquery-validate', 'javascript', 'css', 'html', 'forms']"
"Sydney NSW, Australia","['javascript', 'git', 'angular', 'html', 'css', 'reactjs']"
,"['python', 'c#', 'pygame', '.net', 'vb.net', 'linq']"
"New York, NY","['r', 'r-faq', 'dataframe', 'plot', 'statistics', 'ggplot2']"
"Toronto, Canada","['typescript', 'javascript', 'ecmascript-6', 'c#', 'typescript-compiler-api', 'jquery']"
"Princeton, NJ","['jq', 'json', 'bash', 'key', 'arrays', 'shell']"
"Kelowna, Canada","['sql', 'c#', 'sql-server', '.net', 'tsql', 'asp.net']"
"Bangalore, Karnataka, India","['reactjs', 'javascript', 'redux', 'react-native', 'react-router', 'material-ui']"
"San Francisco Bay Area, CA, USA","['css', 'c#', 'jquery', 'javascript', '.net', 'asp.net']"
Oregon,"['python', 'php', 'string', 'class', 'regex', 'python-3.x']"
France,"['php', 'javascript', 'jquery', 'c', 'arrays', 'mysql']"
,"['c#', 'java', 'asp.net-mvc', 'nhibernate', 'asp.net', 'jquery']"
"Carnation, WA, USA","['c#', '.net', 'linq', 'asp.net', 'tsql', 'sql']"
Netherlands,"['android', 'kotlin', 'java', 'android-layout', 'android-studio', 'gradle']"
Duchy of Grand Fenwick,"['c', 'c++', 'linux', 'latex', 'algorithm', 'makefile']"
,"['swift', 'ios', 'xcode', 'uitableview', 'json', 'firebase']"
"Berlin, Germany","['c++', 'objective-c', 'templates', 'iphone', 'cocoa', 'boost']"
"Houston, TX","['c#', '.net', 'antlr4', 'visual-studio', 'antlr', 'c++']"
,"['javascript', 'git', 'security', 'php', 'html', 'css']"
"SF Bay Area, CA","['android', 'android-activity', 'android-intent', 'android-3.0-honeycomb', 'java', 'user-interface']"
"Seattle, WA, United States","['java', 'maven', 'c++', 'c', 'maven-2', 'linux']"
United Kingdom,"['html', 'php', 'javascript', 'css', 'image', 'rust']"
Poland,"['ruby-on-rails', 'model', 'ruby', 'forms', 'localization', 'extjs']"
Earth,"['webgl', 'javascript', 'three.js', 'html', 'canvas', 'glsl']"
"London, United Kingdom","['php', 'django', 'python', 'django-models', 'html', 'css']"
"Oslo, Norway","['python', 'javascript', 'django', 'c#', 'flask', 'python-3.x']"
"Los Angeles, CA","['php', 'javascript', 'html', 'jquery', 'mysql', 'forms']"
"Brest, France","['css', 'html', 'css-shapes', 'responsive-design', 'svg', 'css-transitions']"
"Florianópolis Area, Brazil","['javascript', 'jquery', 'c#', 'asp.net', '.net', 'html']"
"Istanbul, Turkey","['c#', 'datetime', '.net', 'string', 'asp.net', 'sql']"
United States,"['c#', 'javascript', 'jquery', 'css', 'asp.net', 'string']"
"Tehran, Tehran Province, Iran","['css', 'html', 'twitter-bootstrap', 'vertical-alignment', 'css-selectors', 'javascript']"
"Udine, UD, Italy","['python', 'python-2.7', 'haskell', 'python-3.x', 'numpy', 'dictionary']"
"Delft, The Netherlands","['java', 'jdbc', 'firebird', 'sql', 'mysql', 'firebird2.5']"
"Seattle, WA","['c++', 'c', 'sockets', 'windows', 'winapi', 'java']"
"Austin, TX","['nhibernate', 'fluent-nhibernate', 'c#', 'domain-driven-design', '.net', 'orm']"
"Seattle, WA","['iphone', 'ios', 'objective-c', 'cocoa-touch', 'python', 'c']"
,"['django', 'python', 'django-models', 'javascript', 'django-views', 'jquery']"
,"['r', 'dataframe', 'dplyr', 'regex', 'string', 'list']"
United States,"['cocoa', 'objective-c', 'macos', 'iphone', 'cocoa-touch', 'core-graphics']"
"Moscow, Russia","['c++', 'stl', 'templates', 'visual-c++', 'winapi', 'c']"
Trinidad and Tobago,"['javascript', 'jquery', 'html', 'php', 'ajax', 'css']"
United Kingdom,"['html', 'css', 'python', 'javascript', 'jquery', 'xhtml']"
"Colorado, US","['ms-access', 'vba', 'sql', 'ms-access-2007', 'ms-access-2010', 'database']"
"Almada, Portugal","['php', 'arrays', 'java', 'regex', 'oop', 'apache']"
Norway,"['nsis', 'windows', 'winapi', 'c++', 'installation', 'batch-file']"
"Novosibirsk, Russia","['java', 'java-8', 'java-stream', 'lambda', 'collections', 'string']"
Russia,"['c#', '.net', 'wpf', 'async-await', 'linq', 'entity-framework']"
"Neumarkt i.d.OPf., Bavaria, Germany","['ruby', 'ruby-on-rails', 'ruby-on-rails-4', 'activerecord', 'arrays', 'rspec']"
Living rent-free in your head.,"['javascript', 'jquery', 'ajax', 'html', 'json', 'node.js']"
"Miami, FL, USA","['python', 'python-3.x', 'regex', 'list', 'bash', 'string']"
"Fenwick Island, DE, USA","['excel', 'vba', 'excel-formula', 'excel-2010', 'arrays', 'formula']"
"Berlin, Germany","['php', 'mysql', 'arrays', 'mysqli', 'xml', 'json']"
Portugal,"['c#', '.net', 'windows', 'java', 'regex', 'c++']"
,"['makefile', 'c++', 'gnu-make', 'math', 'c', 'algorithm']"
Southern California,"['compression', 'gzip', 'zlib', 'crc', 'c', 'deflate']"
New Zealand,"['svg', 'css', 'html', 'javascript', 'android', 'animation']"
Texas,"['git', 'java', 'perl', 'windows', 'eclipse', 'jboss']"
"Baltimore, MD and New York, NY","['openssl', 'ssl', 'c++', 'c', 'crypto++', 'linux']"
,"['java', 'http', 'database', 'oracle', 'tomcat', 'jboss']"
"Seattle, WA","['perl', 'regex', 'mysql', 'arrays', 'hash', 'sql']"
United States,"['qt', 'c++', 'multithreading', 'qt5', 'c', 'qml']"
,"['c++', 'stl', 'c++11', 'vector', 'c', 'templates']"
"Montreal, QC, Canada","['python', 'c#', 'c++', 'javascript', 'regex', '.net']"
"Arlington, VA","['c#', 'sql', 'sql-server', '.net', 'tsql', 'sql-server-2005']"
New York,"['ruby', 'ruby-on-rails', 'ruby-on-rails-3', 'git', 'javascript', 'html']"
New Jersey,"['scala', 'sbt', 'java', 'sbt-assembly', 'c++', 'xml']"
"Vancouver, Canada","['c++', 'c', 'python', 'opencv', 'qt', 'algorithm']"
"Biel Bienne, Canton of Berne Switzerland","['c#', 'asp.net', '.net', 'css', 'svn', 'javascript']"
,"['vim', 'git', 'makefile', 'c++', 'c', 'linux']"
"Baltimore, MD","['python', 'git', 'vim', 'list', 'version-control', 'algorithm']"
"Manila, Philippines","['c#', '.net', 'unit-testing', 'visual-studio', 'oop', 'asp.net']"
United Kingdom,"['python', 'javascript', 'jquery', 'html', 'numpy', 'arrays']"
,"['git', 'php', 'java', 'c++', 'python', 'c']"
"Virginia, United States","['sql', 'sql-server', 'database', 'tsql', 'database-design', 'sql-server-2008']"
"San Francisco, CA","['python', 'c#', 'wpf', 'xml', '.net', 'xslt']"
"Riga, Latvia","['r', 'ggplot2', 'plot', 'legend', 'graph', 'boxplot']"
"Earth, Solar System","['bash', 'c', 'c++', 'php', 'linux', 'python']"
Online,"['php', 'arrays', 'mysql', 'curl', 'string', 'multidimensional-array']"
"San Francisco, CA","['javascript', 'python', 'jquery', 'html', 'string', 'css']"
Russia,"['git', 'svn', 'mercurial', 'version-control', 'tortoisesvn', 'tortoisehg']"
"London, United Kingdom","['python', 'django', 'objective-c', 'django-models', 'cocoa', 'macos']"
"Omaha, NE","['c#', 'wpf', 'xaml', '.net', 'mvvm', 'javascript']"
"Queretaro, Mexico","['ruby-on-rails', 'ruby-on-rails-3', 'ruby', 'javascript', 'google-chrome', 'google-chrome-extension']"
"Bushey, United Kingdom","['python', 'logging', 'django', 'java', 'c#', 'python-3.x']"
"Wellington, New Zealand","['objective-c', 'ios', 'c++', 'c', 'iphone', 'cocoa-touch']"
United States,"['c#', '.net', 'linq', 'asp.net', 'regex', 'vb.net']"
Saudi Arabia,"['c++', 'c', 'string', 'stl', 'arrays', 'pointers']"
"Ahmedabad, Gujarat, India","['c#', 'java', 'asp.net', '.net', 'vb.net', 'sql']"
NY,"['c++', 'javascript', 'c++11', 'templates', 'arrays', 'vector']"
Haifa,"['java', 'python', 'arrays', 'regex', 'string', 'c']"
"Chandler, AZ","['javascript', 'java', 'regex', 'jquery', 'arrays', 'html']"
"Kobe, Japan","['python', 'numpy', 'pandas', 'matplotlib', 'scipy', 'plot']"
"Kansas City, Missouri, United States","['java', 'multithreading', 'static', 'spring', 'synchronized', 'groovy']"
"Seattle, WA, USA","['bash', 'linux', 'shell', 'c', 'c++', 'python']"
,"['php', 'html', 'javascript', 'jquery', 'css', 'mysql']"
"Broomfield, CO, United States","['swift', 'ios', 'iphone', 'xcode6', 'arrays', 'objective-c']"
"Pittsburgh, PA, United States","['python', 'c++', 'java', 'c', 'macos', 'linux']"
"Texas, USA","['go', 'json', 'linux', 'javascript', 'c++', 'jquery']"
"Austin, TX","['parsing', 'assembly', 'compiler-construction', 'c++', 'abstract-syntax-tree', 'c']"
"Las Vegas, NV, USA","['c#', 'asp.net-mvc', 'asp.net-mvc-3', 'asp.net', '.net', 'asp.net-mvc-4']"
"Mechanicsburg, PA, United States","['java', 'jquery', 'javascript', 'hibernate', 'html', 'css']"
Canada,"['php', 'javascript', 'html', 'jquery', 'css', 'arrays']"
U.K.,"['php', 'wamp', 'wampserver', 'mysql', 'apache', 'arrays']"
"Campinas - State of São Paulo, Brazil","['python', 'python-3.x', 'class', 'metaclass', 'inheritance', 'gimp']"
"Athens, GA","['memory-management', 'stack', 'language-agnostic', 'dynamic-memory-allocation', 'heap-memory']"
"Frankfurt, Germany","['android', 'android-intent', 'android-activity', 'java', 'android-service', 'android-pendingintent']"
"Evanston, IL","['swift', 'ios', 'xcode', 'objective-c', 'arrays', 'ios8']"
Sweden,"['ruby-on-rails', 'ruby', 'ruby-on-rails-4', 'activerecord', 'ruby-on-rails-5', 'rspec']"
,"['python', 'ruby', 'ruby-on-rails', 'java', 'perl', 'javascript']"
"Victoria, Canada","['php', 'mysql', 'javascript', 'jquery', 'arrays', 'css']"
"Cambridge, MA","['ruby-on-rails', 'ruby-on-rails-3', 'ruby', 'git', 'mysql', 'rspec']"
,"['javascript', 'arrays', 'jquery', 'html', 'css', 'regex']"
United Kingdom,"['jquery', 'javascript', 'c#', 'silverlight', 'html', 'asp.net-mvc']"
"Karlsruhe, Germany","['python', 'ruby', 'algorithm', 'haskell', 'c++', 'java']"
"Lancaster, United Kingdom","['r', 'python', 'plot', 'ggplot2', 'django', 'dplyr']"
planet Earth,"['iphone', 'ios', 'objective-c', 'cocoa-touch', 'php', 'ipad']"
"San Bruno, CA, United States","['python', 'list', 'math', 'oop', 'django', 'c#']"
"Montreal, Canada","['python', 'javascript', 'erlang', 'linux', 'c', 'php']"
"California, USA","['c++', 'opencv', 'c', 'image-processing', 'qt', 'linux']"
Australia,"['javascript', 'jquery', 'html', 'arrays', 'jquery-selectors', 'css']"
"Chicago, IL, United States","['android', 'java', 'layout', 'android-layout', 'listview', 'user-interface']"
"Saline, MI, USA","['language-agnostic', 'c', 'c++', 'c#', 'algorithm', 'embedded']"
Spain,"['c++', 'c', 'linux', 'rust', 'python', 'gcc']"
,"['c', 'python', 'bash', 'c++', 'arrays', 'latex']"
Not here. Try Twitter?,"['php', 'mysql', 'javascript', 'jquery', 'html', 'java']"
United States,"['javascript', 'html', 'css', 'jquery', 'google-chrome-extension', 'google-chrome']"
"Jerusalem, Israel","['r', 'dataframe', 'data.table', 'dplyr', 'regex', 'string']"
"Amersfoort, Netherlands","['php', 'css', 'html', 'mysql', 'jquery', 'javascript']"
,"['java', 'git', 'maven-2', 'intellij-idea', 'swing', 'regex']"
"Munich, Germany","['kotlin', 'intellij-idea', 'java', 'pycharm', 'android-studio', 'android']"
United States,"['c#', '.net', 'algorithm', 'vim', 'language-agnostic', 'assembly']"
"Vienna, Austria","['.net-core', 'c#', 'msbuild', '.net', 'nuget', 'asp.net-core']"
"Athens, Greece","['python', 'list', 'unicode', 'string', 'windows', 'tkinter']"
"Redwood City, CA","['string', 'python', 'java', 'javascript', 'c#', 'regex']"
"Chennai, India","['sql-server', 'sql', 'tsql', 'sql-server-2008', 'sql-server-2012', 'mysql']"
,"['android', 'java', 'memory', 'android-activity', 'android-fragments', 'android-intent']"
"Lisbon, Portugal","['python', 'php', 'javascript', 'string', 'android', 'regex']"
"Ottawa, Canada","['java', 'php', 'css', 'javascript', 'html', 'jquery']"
India,"['css', 'html', 'layout', 'javascript', 'image', 'jquery']"
,"['java', 'git', 'intellij-idea', 'c', 'eclipse', 'junit']"
Vermont,"['sql', 'sql-server', 'sql-server-2005', 'tsql', 'mysql', 'database']"
"Washington DC-Baltimore Area, United States","['mysql', 'sql', 'php', 'laravel', 'sql-server', 'triggers']"
"Frankfurt, Germany","['git', 'git-branch', 'python', 'django', 'numpy', 'tensorflow']"
"Santa Cruz, CA","['clojure', 'leiningen', 'lisp', 'functional-programming', 'java', 'macros']"
,"['java', 'jvm', 'performance', 'jvm-hotspot', 'jit', 'memory']"
"Toronto, ON, Canada","['javascript', 'php', 'mysql', 'regex', 'ruby', 'sql']"
Germany,"['maven', 'java', 'svn', 'maven-2', 'maven-3', 'eclipse']"
"Bangalore, India","['c++', 'c', 'arrays', 'java', 'templates', 'pointers']"
"Lausanne, Switzerland","['java', 'java-8', 'java-stream', 'arrays', 'android', 'arraylist']"
,"['html', 'schema.org', 'microdata', 'seo', 'semantic-markup', 'json-ld']"
